Region,Project_Number,Report_Title,Link,Filename (MACOSX),Search_Notes,Filename,Processing_Notes,Auto_Summary,Notes
Caribbean Region,AID-538-IO-14-00001,Journal article published with project funds,https://www.sciencedirect.com/science/article/pii/S2405880718300451,Transforming National Meteorological and Hydrological Services into National Climate Service Centers.txt,,Transforming National Meteorological and Hydrological Services into National Climate Service Centers.txt,,"However, the production and delivery of user-oriented climate services place new burdens on NMHSs and require new skillsets, partnerships, and infrastructure. We find that the NMHSs face key capacity gaps in the technical production, translation, transfer, and facilitation of the use of climate information. In many countries, National Meteorological and Hydrological Services (NMHSs) are charged with providing climate services to diverse audiences. Some of these gaps have historical roots and relate to the overarching legal, political, and institutional settings in which NMHSs were established and currently operate. Climate services are important to foster adaptation to climate risks and in reducing vulnerability in developing world contexts. Climate services are becoming an important strategy for delivering climate information to users around the world. Our assessment is framed around the five core pillars of the World Meteorological Organization’s Global Framework for Climate Services.",abstract only
Caribbean Region,AID-538-IO-14-00001,Meterological centre transformation to WMO centre,https://www.usaid.gov/eastern-and-southern-caribbean/news-information/press-releases/dec-20-2018-usaid-continues-support-caribbean,Caribbean Institute for Meteorology and Hydrology becomes WMO Regional Climate Centre.txt,,Caribbean Institute for Meteorology and Hydrology becomes WMO Regional Climate Centre.txt,,"Its RCC designation makes it the first institution in North America, Central America and the Caribbean, and first Small Island Developing State, to host such a Centre. Executive Director of the Caribbean Disaster Emergency Management Agency (CDEMA), Mr. Ronald Jackson, also attended the launch event. CIMH, based in Barbados, is an organ of the Caribbean Meteorological Organization (CMO). “These important achievements are interrelated because with U.S. government support, the CIMH met the rigorous requirements to be recognised as a WMO Regional Climate Centre. He praised the CIMH for its accomplishment, which he said spoke to the “presence of vision” over the CIMH’s 50-year journey. “We are committed to continuing to provide support in the future despite the various challenges we may encounter,” Mr. Gittens affirmed. The Caribbean region is extremely proud of the designation of the CIMH as a WMO RCC,"" he continued.",
Caribbean Region,AID-538-IO-14-00001,ClimateLinks blog post about linkage with health,https://www.climatelinks.org/blog/leveraging-partnerships-health-climate-services-caribbean,Leveraging Partnerships for Health Climate Services in the Caribbean.txt,,Leveraging Partnerships for Health Climate Services in the Caribbean.txt,,"Co-production of the Health-Climatic Bulletin happens quarterly via an authorship meeting across the three organizations, followed by co-delivery through their respective organizational networks. This resource includes credible health-climate early warning information delivered up to 3-6 months in advance. We recognized that part of the solution in bridging the gap between health-climate decision making could be integration of climate early warning information into health sector planning and practice. Although we knew that the integration of sector-specific information would improve guidance for decision-making, we had limited experience doing this. With ongoing research-to-operations innovations with our partners around Aedes and heat early warning, we hope to make these messages even more robust. However, there was a notable gap of operational health-climate information delivery to inform that process. June 2019 Issue of the Caribbean Health-Climatic Bulletin for the period June-July-August 2019.",
Caribbean Region,AID-OAA-C-14-00185,Final CDI Report - LC4LS co-creation p. 23-24,https://pdf.usaid.gov/pdf_docs/PA00TPH7.pdf,Local Capacity for Local Solutions Co-Creation.txt,,Local Capacity for Local Solutions Co-Creation.txt,,"Additionally, the Mission reported having a better understanding of participating organizations’ creativity, organizational dynamics, and innovation potential. The BAA sought partners that would identify and implement innovative methods to strengthen local civil society organizations’ managerial, administrative, and operational skills. DAI developed the co-creation workshop agenda and facilitated the three-day meeting, which included exercises to better understand and mitigate barriers and prototyping and pitch sessions to develop possible solutions. In May 2017, two groups submitted formal proposals, with the Mission selecting one for funding. DAI used this research to help design the workshop, ensuring the viewpoints of potential program beneficiaries were factored into the proposed solutions. They also credited the three concepts emerging from the workshop as potential solutions to improve the poor managerial capacity within local civil society organizations. Participants left the workshop with three working groups with different approaches to strengthening local civil society.",
Central America Region,72051918CA00001,,https://www.usaid.gov/sites/default/files/documents/1862/Fact_Sheet_-_Regional_Coastal_Biodiversity_Project.pdf,Fact_Sheet_-_Regional_Coastal_Biodiversity_Project.pdf,,Fact_Sheet_-_Regional_Coastal_Biodiversity_Project.pdf,,"The project also develops business plans for fisheries of snook, snapper, shrimp, lobster, mud clams, and mangrove crabs, as well as mangrove honey production and sustainable eco-tourism. Creating linkages between the buyers and sellers provides the opportunity to identify gaps in services, infrastructure, equipment, financing, and best practices. Decreased livelihoods, in turn, are a contributing factor to illegal immigration to the United States. El Salvador, Honduras and Guatemala PARTNERS: • International Union for Conservation of Nature (IUCN) Finally, the project promotes strengthened governance and regulatory frameworks for biodiversity conservation. Along the Central American coast, fishing is a traditional source of income and food. • Unidad Ecológica Salvadoreña (UNES) (El Salvador)",
Central America Region,AID-596-A-13-00002,Final Performance Evaluation,https://pdf.usaid.gov/pdf_docs/PA00SVXP.pdf,PA00SVXP.pdf,,PA00SVXP.pdf,,,Use Abstract if needed
Central America Region,AID-596-A-13-00002,CATIE write-up on project end,https://www.catie.ac.cr/en/catie-news/3973-usaid-s-regional-climate-change-program-leaves-central-america-more-resilient-to-climate-change.html,USAID's Regional Climate Change Program Leaves Central America More Resilient to Climate Change.txt,,USAID's Regional Climate Change Program Leaves Central America More Resilient to Climate Change.txt,,"The coffee tool, known as Coffee Cloud, already has more than 4000 active users, while the fishing tool, Clima Pesca, has more than 2000 active users. Since the launch of Centro Clima, more than 103,768 people from 122 countries around the world have accessed this information portal.",
Central America Region,AID-596-C-12-00001,,https://2012-2017.usaid.gov/sites/default/files/documents/1862/Fact_Sheet-_Central_America_Regional_Clean_Energy_Initiative.pdf,Fact_Sheet-_Central_America_Regional_Clean_Energy_Initiative.pdf,,Fact_Sheet-_Central_America_Regional_Clean_Energy_Initiative.pdf,,"Guatemala, Costa Rica, Honduras, El Salvador, Nicaragua, and Panama To do so, it will identify key regulatory, technical and policy barriers to develop an energy action plan and a Regional Electrical Market. The activities will increase investment in small, medium and /or large-scale regional renewable generation and facilitate energy transactions. USAID will support the implementation of energy efficiency standards, and the use of high efficiency equipment at national and regional levels. The initiative seeks to harmonize regional regulatory and trade policy to develop the Regional Electricity Market and improve the renewable energy enabling environmental. The capacity of national and regional government institutions will be strengthened to support renewable energy programs and projects. The initiative will also design and promote financial/fiscal incentives to increase investments in energy efficiency programs.",
Central America Region,AID-596-C-12-00001,Zacatecoluca Municipality inauguration event for energy efficient street lighting,https://www.laprensagrafica.com/elsalvador/Inauguran-alumbrado-en-Zacatecoluca-20160227-0017.html,Inauguran alumbrado en Zacatecoluca.txt,,Inauguran alumbrado en Zacatecoluca.txt,,"According to the mayor's office, this savings from the use of the new technology will finance the investment in the new system. Both public lighting projects have benefited approximately 40,000 residents of Zacatecoluca. The project to modernize the lighting services of the headwaters is part of the Regional Clean Energy Initiative promoted by USAID and CNE. The installation of led lamps has allowed a 66% saving in the electricity bill paid by the municipality. “I am grateful to USAID for promoting this initiative in Zacatecoluca.",Translated from Spanish
Central America Region,AID-596-C-12-00001,"New solar photovoltaic system launch for Zamorano University, Honduras",https://www.zamorano.edu/2017/11/07/usaid-zamorano-una-vision-mas-alla-de-suplir-la-necesidad-energetica/,USAID-ZAMORANO a vision beyond meeting the energy need.txt,,USAID-ZAMORANO a vision beyond meeting the energy need.txt,,"We hope that in about four years ZAMORANO will be generating information for us that we can use in future programs, ”says Fernando Cossich, USAID-Honduras director. In November, the ZAMORANO Department of Environment and Development inaugurated a photovoltaic energy demonstration system on the roof of its green building. Upon graduation, our youth will have experience that they can use in their home countries. For me, this university is an example of what Latin America has to continue to do so that we can solve our problems by ourselves. ZAMORANO, through its expertiseacademia, and A photovoltaic system was donated to these families to be installed in their homes so that at night they can have lighting and energy to charge their cell phones. The energy benefit of the system is 45 kW supplying the electrical needs of the entire building.",Translated from Spanish
Central America Region,AID-596-IO-16-00001,Final Report,https://pdf.usaid.gov/pdf_docs/PA00TRMV.pdf,PA00TRMV.pdf,,PA00TRMV.pdf,,"In total, 1463 people were trained within the ICWL project, including microfinance associations, governance structures, municipalities and national institutions, local NGOs, children, students, park rangers, among others. Training topics included organizational processes, participative planning, environmental, wildlife and protected areas.",Edited for clarity
Central America Region,AID-596-IO-16-00001,UN Oceans Conference,https://oceanconference.un.org/commitments/?id=31422,Improved Coastal Watersheds and Livelihoods project.txt,,Improved Coastal Watersheds and Livelihoods project.txt,,"Municipalities and local communities are supported to take on a stronger role in water, waste and natural resource management. Project objectives will be achieved through three expected results: 1.Natural ecosystems and biodiversity protected and restored through climate-smart approaches 2. Sustainability of rural livelihood systems improved through climate-smart approaches 3. Effectiveness and integration of source to sea watershed governance improved",Edited for clarity
Central America Region,AID-596-TO-16-00006,Final Assessment Report,https://pdf.usaid.gov/pdf_docs/PA00MPGS.pdf,PA00MPGS.pdf,,PA00MPGS.pdf,,"Colombia, Chile, Ecuador, Bolivia, Uruguay, Paraguay, El Salvador, Guatemala, Honduras, Costa Rica, Cuba, Haiti and Thailand Trilateral Cooperation: Trilateral Cooperation Agreement with USAID? Their partners for these activities have been Japan, Germany, Israel, the U.S., France, Italy, Australia, the UK, Korea, Canada, Norway, Egypt and Spain. : Colombia, Mexico, Chile, Brazil, Argentina, Uruguay, Peru, Panama, and El Salvador. The mission has a relatively limited strategy (municipal governance, civil society, media, fiscal transparency/anti-corruption, human rights, primary education, at-risk youth training, Zika health). Institutions Offering Technical Assistance: Ministry of Public Education, Ministry of Health, Institute of Tourism, National Institute for Women, Social Security Unit, Ministry of Housing, Ministry of Environment, among others. As a provider, Costa Rica sees challenges, including effectiveness and impact, sharing of best practices, improved coordination, cost effectiveness, matching assistance to demand, and engaging non-governmental partners. Potentially: Belize, Costa Rica, Dominican Republic, El Salvador, Guatemala, Honduras, Nicaragua, Panama USAID Activity Manager Jason Seuc",Bad Summary
Central America Region,AID-EGEE-IO-13-00002,Factsheet from TRAFFIC Website,https://www.traffic.org/site/assets/files/2612/wildlife-traps_2pager_a4.pdf,wildlife-traps_2pager_a4.pdf,,wildlife-traps_2pager_a4.pdf,,"Poverty, armed conflict, corruption, and lack of enforcement all exacerbate this issue, resulting in global implications for national security, people, and communities. The illegal killing and trade of African and Asian land species—such as elephants, rhinos, and pangolins—and marine species, like abalone, has precipitated an international conservation crisis. Wildlife TRAPS uses targeted assessments, collaborative action planning, and innovative approaches to identify and advance interventions that can break trafficking chains and disrupt organized criminal networks. Initiated in February 2013, the Wildlife TRAPS Project currently runs until February 2020. Over the past decade, Asia has experienced a surge in demand for natural resources.",Edited for clarity
Central America Region,AID-EGEE-IO-13-00002,USAID Biodiversity Project Homepage,https://rmportal.net/biodiversityconservation-gateway/projects/current-global-projects/w-traps-wildlife-trafficking-response-assessment-and-priority-setting,Wildlife Trafficking Response Assessment and Priority Setting (Wildlife TRAPS).txt,,Wildlife Trafficking Response Assessment and Priority Setting (Wildlife TRAPS).txt,,"Wildlife TRAPS works to strengthen the knowledge base, resolve and cooperation of governments, inter-governmental organizations, the private sector and NGOs for tackling wildlife trafficking between Africa and Asia. Wildlife TRAPS is a program of the International Union for Conservation of Nature (IUCN), with implementation by TRAFFIC, IUCN’s partnership with World Wildlife Fund. Respond and Review Supporting stakeholders to implement actions that will effectively tackle illegal wildlife trade along trade chains for species products between Africa and Asia. Wildlife TRAPS takes a three-part approach to improving evidence and action on wildlife crime: Conducting adaptive management processes to ensure these actions are effective in disrupting wildlife traffickers’ business and acting as a deterrent for others. Conducting targeted issue assessment and analysis to set priorities and inform rapid action to address emerging or escalating threats. Phase II: Collaborative Action Planning and “Quick Win” Activities Convening Collaborative Action Planning (CAP",
Central America Region,AID-EGEE-IO-13-00002,Wildlife Trafficking in Brazil,https://www.traffic.org/publications/reports/brazils-widespread-wildlife-trafficking/,brazil_wildlife_trafficking_assessment.pdf,,brazil_wildlife_trafficking_assessment.pdf,,,Bad Summary
Central America Region,AID-EGEE-IO-13-00002,Wildlife Trafficking in Brazil (press release),https://www.traffic.org/publications/reports/brazils-widespread-wildlife-trafficking/,Vicious circle New report spotlights Brazil’s widespread wildlife trafficking.txt,,Vicious circle New report spotlights Brazil’s widespread wildlife trafficking.txt,,"Turtles, fish, jaguars, frogs, insects, primates, songbirds, and parrots are among a long list of wildlife in Brazil that is illegally targeted for domestic and international trade. In recent years, jaguar poaching for their parts (fangs, skulls, bones, skins, paws, meat) has been growing, seemingly driven by market demand in Asia. Species such as capybara, paca, tapirs, deer, peccaries, and others are widely poached and sold. Wildlife Trafficking in Brazil was supported by the U.S. Agency for International Development (USAID), through the Wildlife Trafficking Response, Assessment, and Priority Setting (Wildlife TRAPS) project. “A vicious circle masks Brazil's widespread illegal wildlife trade—a lack of data deprioritises enforcement action on wildlife trafficking, which in turn means there’s less data to collect. To reduce illegal wildlife trade in Brazil, the report offers a number of recommendations. Officials estimate that by 2015, a total of about three million birds were registered through fraudulent practices in order to launder wild or illegally traded birds.",
Central America Region,AID-EGEE-IO-13-00002,People Not Poaching Platform Release,https://www.iucn.org/news/species/201810/new-people-not-poaching-platform-supports-communities-first-line-defence-against-illegal-wildlife-trade,New “People not poaching” platform supports communities as the first line of defence against Illegal Wildlife Trade.txt,,New “People not poaching” platform supports communities as the first line of defence against Illegal Wildlife Trade.txt,,"USAID, through the Wildlife Trafficking, Response, Assessment, and Priority Setting (Wildlife TRAPS) Project. Alternatively, initiatives may be submitted in the form of reports and other material that describe the initiative, community involvement, strategies, and outcomes. SULi, IIED, and TRAFFIC invite you to contribute your community-based anti-poaching and IWT initiative to the platform, to share your successes and lessons learned with others. The IWT learning platform is a partnership between IUCN CEESP/SSC Sustainable Use and Livelihoods Specialist Group (SULI), IIED, and TRAFFIC, the wildlife trade monitoring network. It is being launched by IUCN SSC SULi, IIED, and TRAFFIC to coincide with the Illegal Wildlife Trade Conference in London on 11-12 October. It threatens a wide range of wild species around the world while jeopardising local security and economies, undermining livelihood assets, and destabilising governance regimes. Crucially, however, communities lack a voice in discussions and are rarely consulted when IWT policies or programmes are being developed.",
Central America Region,AID-EPP-I-05-04-00020,Final Report,https://www.chemonics.com/wp-content/uploads/2017/10/MAREA_Final_Report.pdf,MAREA_Final_Report.pdf,,MAREA_Final_Report.pdf,,"Drawing on tools such as research, habitat protection, public education, and community outreach, STC provided technical assistance through site-based monitoring, protection and sustainable ecotourism activities. The plan incorporated knowledge from fishing communities, who reviewed and discussed zoning, management standards, as well as permitted, restricted, and prohibited activities in a marine reserve. These practices involve the use of legal fishing techniques and gear, minimal by-catch (other marine species caught unintentionally), and adherence to closed seasons, catch-size requirements, and breeding periods. Number of labor standards, manuals, codes, or guidelines drafted and validated with local communities, the private sector, and governmental officials in the Miskito Coast of Honduras and Nicaragua. The region’s ecosystems include coral reefs, mangroves, archipelagos, coastal wetlands, lowland tropical forests, and montane and premontane forests. As one of the areas with the highest levels of terrestrial biodiversity in Central America, it hosts 189 mammal species, 825 birds, 558 butterflies, 168 reptiles, and 128 amphibians. The region is characterized by a rich array of habitats, such as tropical rain forests, mangroves, lagoons, wetlands, coral reefs and more.",
Central America Region,AID-EPP-I-05-04-00020,Program Audit,https://oig.usaid.gov/sites/default/files/2018-06/1-596-13-009-p.pdf,1-596-13-009-p.pdf,,1-596-13-009-p.pdf,,"According to the March 31, 2013, quarterly progress report, Chemonics completed about 60 different strategy reports, management plans, communication efforts, and other program documents. Countries in the region are Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, and Panama. (1) Validity, (2) Integrity, (3) Precision, (4) Reliability, and (5) Timeliness.” Documented and tested compliance with requirements for contract documentation, gender analysis, human trafficking, sustainability, branding and marking, and environmental compliance. We also interviewed beneficiaries, officials from the Nicaraguan, Panamanian, Belizean, and Honduran Governments, and members of the private sector. At least two labor standard manuals, codes, or guidelines drafted and validated with local communities, the private sector, and government officials.",Edited for clarity
Central America Region,AID-EPP-I-05-06-00013,Thesis on USAID/FCD project,https://www.academia.edu/9292371/TOWARDS_RESPECTING_INDIGENOUS_RIGHTS_IN_DEVELOPMENT_POLICY_THE_CASE_OF_A_COMMUNITY_BASED_FOREST_MANAGEMENT_PROJECT_IN_PANAMA,TOWARDS_RESPECTING_INDIGENOUS_RIGHTS_IN.pdf,,TOWARDS_RESPECTING_INDIGENOUS_RIGHTS_IN.pdf,,,Bad Summary
Central America Region,AID-OAA-A-14-00064,Factsheet,https://www.usaid.gov/sites/default/files/documents/1862/FACT_SHEET-_CARIB_MARINE_BIO-_MARCH_2018.pdf,FACT_SHEET-_CARIB_MARINE_BIO-_MARCH_2018.pdf,,FACT_SHEET-_CARIB_MARINE_BIO-_MARCH_2018.pdf,,"Pedro Bank, about 50 miles off Jamaica’s southwestern coast, is an 800,000-hectare marine area with some of the most extensive and healthy coral reefs in Jamaica. It also represents the largest source of queen conch anywhere in the Caribbean, providing income for hundreds of fishers and generating about US$8 million each year in export earnings. It also assists to strengthen the capacity of local fisher cooperatives to support sustainable fisheries and marine managed areas; and promote ecotourism.",Edited for clarity
Central America Region,AID-OAA-A-14-00064,Program Overview,https://www.nature.org/content/dam/tnc/nature/en/documents/Caribbean-Marine-Biodiversity-Program-Overview.pdf,Caribbean-Marine-Biodiversity-Program-Overview.pdf,,Caribbean-Marine-Biodiversity-Program-Overview.pdf,,"In addition, the Program develops and implements marine spatial plans, which delineate zones for protected areas as well as for sustainable development activities, such as fisheries and ecotourism. In addition, the Program implements a range of activities to ensure effective management, including patrol and monitoring plans and coral reef and fisheries assessments. Since then, The Nature Conservancy and the Caribbean Coastal Areas Management Foundation (C-CAM), along with collaborating partners, have supported com-munity outreach and monitoring activities in the region.",Edited for clarity
Central America Region,AID-OAA-A-14-00064,Mid-term Performance Evaluation,https://pdf.usaid.gov/pdf_docs/PA00T4Z9.pdf,PA00T4Z9.pdf,,PA00T4Z9.pdf,,,Bad Summary
Central America Region,AID-OAA-A-14-00064,US Embassy In Barbados Press Release,https://bb.usembassy.gov/usaid-launches-usd12-5-million-caribbean-marine-biodiversity-program-carriacou/,,,,,"Economic sectors like tourism and fisheries, which depend heavily upon the quality of the marine environment, are particularly affected,” noted Ambassador Palmer. “Human benefits are really at the heart of this program, and I can’t emphasize that enough,” he stressed. NGO partners will implement various activities at the local and regional levels, with CARIBSAVE, and Sustainable Grenadines working in the Grenadine Bank. The launch allowed stakeholders, including youth participants, to discuss priorities and determine strategies for moving forward. But in our quest to develop as small multi-island states, we have to ensure that we do not take the word exploitation to illogical conclusions we are moving towards private/public sector joint venture enterprises to ensure that we further explore our marine resources.",Edited for clarity
Colombia,AEG-A-00-05-00007,ICAA/HED Final Report,https://pdf.usaid.gov/pdf_docs/PA00KP5B.pdf,PA00KP5B.pdf,,PA00KP5B.pdf,,,
Colombia,AEG-A-00-05-00007,HED Semi-Annual Report,https://pdf.usaid.gov/pdf_docs/PA00KRF1.pdf,PA00KRF1.pdf,,PA00KRF1.pdf,,,
Colombia,AEG-A-00-05-00007,Blog - Higher Ed Today,https://www.higheredtoday.org/2018/08/01/ace-100-higher-education-development/,ACE at 100 Higher Education for Development.txt,,ACE at 100 Higher Education for Development.txt,,,
Colombia,AEG-A-00-05-00007,ACE Leadership Network Presentation,https://www.acenet.edu/Documents/2012-Leadership-Network-Duval-Presentation.pdf,,,,,,
Colombia,AEG-A-00-05-00007,Wikipedia Entry,https://en.wikipedia.org/wiki/Higher_Education_for_Development,Higher Education for Development.txt,,Higher Education for Development.txt,,,
Colombia,AID-514-A-09-00004,Final Report,https://pdf.usaid.gov/pdf_docs/PA00MTK7.pdf ,PA00MTK7.pdf,,PA00MTK7.pdf,,,
Colombia,AID-514-A-09-00004,CLP Program Advisory Unit Final Report,https://www.tetratech.com/pdf/download?url=http://localhost%252fen%252fdocs%252fne16%252d023%252den%252dconservation%252dlandscapes%252dprogram%252epdf ,ne16-023-en-conservation-landscapes-program.pdf,,ne16-023-en-conservation-landscapes-program.pdf,,,
Colombia,AID-514-A-12-00002,Factsheet,https://mediamanager.sei.org/documents/Publications/Air-land-water-resources/SEI-USAID-FS-2013-Colombia-Water.pdf ,SEI-USAID-FS-2013-Colombia-Water.pdf,,SEI-USAID-FS-2013-Colombia-Water.pdf,,,
Colombia,AID-514-A-12-00002,Final Report,https://pdf.usaid.gov/pdf_docs/PA00KT6B.pdf ,PA00KT6B.pdf,,PA00KT6B.pdf,,,
Colombia,AID-514-A-12-00002,Symposium announcement on SEI site,https://www.sei.org/featured/taking-stock-3-years-participatory-water-resources-adaptation-planning-colombia/ ,Taking stock of 3 years of participatory water resources adaptation planning in Colombia.txt,,Taking stock of 3 years of participatory water resources adaptation planning in Colombia.txt,,,
Colombia,AID-514-A-12-00002,Project blog,https://weap-lavieja-otun.blogspot.com/,"Symposium Water, Climate and Adaptation in Basins of Colombia - Bogotá, Colombia - June 3, 2015 (1 day).txt",,"Symposium Water, Climate and Adaptation in Basins of Colombia - Bogota, Colombia - June 3, 2015 (1 day).txt",,,
Colombia,AID-514-A-16-00003,TERRA BELLA INVESTMENT FUND,https://www.usaid.gov/sites/default/files/documents/1862/TerraBella_FactSheet.pdf,TerraBella_FactSheet.pdf,,TerraBella_FactSheet.pdf,,,
Colombia,AID-514-A-16-00003,Quarterly Report 1Q18,https://pdf.usaid.gov/pdf_docs/PA00TDD3.pdf ,PA00TDD3.pdf,,PA00TDD3.pdf,,,
Colombia,AID-514-A-16-00003,Fueling Climate Finance in Colombia,http://www.terraglobalcapital.com/news/article-published-terra-global-founder-ceo-%E2%80%9Cfueling-climate-finance-colombia%E2%80%9D,IETA Insights Terra Global Colombia Carbon Tax.txt,,IETA Insights Terra Global Colombia Carbon Tax.txt,,,
Colombia,AID-514-A-16-00003,Terra Global Participates in High Level USAID Workshop:,http://www.terraglobalcapital.com/news/terra-global-participates-high-level-usaid-workshop,Terra Global Participates in High Level USAID Workshop.txt,,Terra Global Participates in High Level USAID Workshop.txt,,,
Colombia,AID-514-C-12-00002,Factsheet,https://2012-2017.usaid.gov/sites/default/files/documents/1862/CCEP_FactSheet_040317.pdf,CCEP_FactSheet_040317.pdf,,CCEP_FactSheet_040317.pdf,,,
Colombia,AID-514-C-12-00002,COLOMBIA CLEAN ENERGY PROGRAM,https://2012-2017.usaid.gov/sites/default/files/documents/1862/CCEP_FactSheet_040317.pdf,PA00N197.pdf,,PA00N197.pdf,,,
Colombia,AID-514-C-12-00002,USAID/Colombia’s Clean Energy Program Faced Delays in Achieving Intended Results,https://oig.usaid.gov/sites/default/files/2018-06/1-514-17-002-p.pdf ,1-514-17-002-p.pdf,,1-514-17-002-p.pdf,,,
Colombia,AID-514-C-12-00002,Renewable Energy for Rural Colombia: A USAID Clean Energy Project is Bringing Light and Economic Opportunity to Off-grid Communities,https://www.tetratech.com/pdf/download?url=http://localhost%252fen%252fdocs%252fpp14%252d014%252den%252drenewable%252denergy%252dfor%252drural%252dcolombia%252epdf%3fblobheader%253dapplication%252fpdf%2526blobheadername1%253dContent%252dType%2526blobheadername2%253dContent%252dDisposition%2526blobheadervalue1%253dapplication%252fpdf%2526blobheadervalue2%253dattachment%253b%252520filename%253d%252522PP14%252d014%252dEN%252dRenewable%252520Energy%252520for%252520Rural%252520Colombia%252dPDF%252epdf%252522,PP14-014-EN-Renewable Energy for Rural Colombia-PDF.pdf,,PP14-014-EN-Renewable Energy for Rural Colombia-PDF.pdf,,,
Colombia,AID-514-C-15-00003,ARTISANAL GOLD MINING,https://2012-2017.usaid.gov/sites/default/files/documents/1862/ArtisanalGoldMining_Factsheet_7.21.17.pdf,ArtisanalGoldMining_Factsheet_7.21.17.pdf,,ArtisanalGoldMining_Factsheet_7.21.17.pdf,,,
Colombia,AID-514-C-15-00003,"MIDTERM EVALUATION OF THE
ARTISANAL GOLD MINING
PROGRAM",https://pdf.usaid.gov/pdf_docs/PA00TCNJ.pdf,PA00TCNJ.pdf,,PA00TCNJ.pdf,,,
Colombia,AID-514-C-15-00003,Beekeeping: A Sweet Solution for Rural Colombia.,https://chemonics.com/impact-story/beekeeping-a-sweet-solution-for-rural-colombia/,Beekeeping- A Sweet Solution for Rural Colombia.txt,,Beekeeping- A Sweet Solution for Rural Colombia.txt,,,
Colombia,AID-514-C-15-00003,"FORMALIZATION OF ARTISANAL AND SMALL-SCALE GOLD MINING IN COLOMBIA: A PROPOSAL FOR IMPROVING ENVIRONMENTAL, SOCIAL, AND ECONOMIC PERFORMANCE IN A POST-CONFLICT SCENARIO",https://chemonics.com/wp-content/uploads/2020/07/04-14-Minnick-723_paper.pdf,04-14-Minnick-723_paper.pdf,,04-14-Minnick-723_paper.pdf,,,
Colombia,AID-514-H-17-00001,NATURAL WEALTH,https://www.usaid.gov/sites/default/files/documents/1862/NaturalWealth_FactSheet_7.21.17.pdf,NaturalWealth_FactSheet_7.21.17.pdf,,NaturalWealth_FactSheet_7.21.17.pdf,,,
Colombia,AID-514-H-17-00001,BioTerra: The new biodiversity monitoring system being developed by USAID Natural Wealth Program,https://blog.ciat.cgiar.org/bioterra-the-new-biodiversity-monitoring-system-being-developed-by-usaid-natural-wealth-program/,BioTerra- The new biodiversity monitoring system being developed by USAID Natural Wealth Program.txt,,BioTerra- The new biodiversity monitoring system being developed by USAID Natural Wealth Program.txt,,,
Colombia,AID-514-TO-11-00002,BIODIVERSITY — REDUCED EMISSIONS FROM DEFORESTATION AND FOREST DEGRADATION PROGRAM,https://pdf.usaid.gov/pdf_docs/PA00SVC3.pdf,PA00SVC3.pdf,,PA00SVC3.pdf,,,
Colombia,AID-514-TO-11-00002,"Through USAID’s BioREDD+ project, Chemonics partnered with mining company Gran Colombia Gold to reduce illegal mining and improve the livelihoods of small miners in Colombia.",https://www.chemonics.com/impact-story/creating-shared-value-interview-gran-colombia-gold/,Impcat Story- Gran Colombia Gold.txt,,Impcat Story- Gran Colombia Gold.txt,,,
Colombia,AID-514-TO-11-00002,Impact Story - Community Forest Stewardship,"https://www.chemonics.com/impact-story/compensating-communities-colombia-forest-stewardship/,","Colombians are conserving their local environment to reduce carbon dioxide emissions, while earning revenue for their communities.txt",,"Colombians are conserving their local environment to reduce carbon dioxide emissions, while earning revenue for their communities.txt",,,
Colombia,AID-514-TO-11-00002,Impact Story - Innovative Imaging,https://www.chemonics.com/impact-story/leading-innovative-imaging/,The Colombian government is piloting an innovative approach to imaging technology to better conserve forests and build local livelihoods.txt,,The Colombian government is piloting an innovative approach to imaging technology to better conserve forests and build local livelihoods.txt,,,
Colombia,AID-530-A-13-00004,DOI-ITAP Factsheet,https://www.doi.gov/sites/doi.gov/files/uploads/doi-itap_factsheet_colombia_epic_results_-_english_-_final_-_updated_nov_2016.pdf,doi-itap_factsheet_colombia_epic_results_-_english_-_final_-_updated_nov_2016.pdf,,doi-itap_factsheet_colombia_epic_results_-_english_-_final_-_updated_nov_2016.pdf,,,
Colombia,AID-530-A-13-00004,Cannot find it,https://dec.usaid.gov/dec/search/FusionSearchResults.aspx?q=AID-530-A-13-00004,,,,,,
Colombia,AID-530-A-13-00004,FWS Voices from the Field,https://www.fws.gov/southwest/docs/DOI-ITAPInterview-FWS-SesnieNPS-Jander-GIS-Colombia-Final.pdf,DOI-ITAPInterview-FWS-SesnieNPS-Jander-GIS-Colombia-Final.pdf,,DOI-ITAPInterview-FWS-SesnieNPS-Jander-GIS-Colombia-Final.pdf,,,
Colombia,AID-530-A-13-00005,REPORTE Q3FY2017,https://pdf.usaid.gov/pdf_docs/PA00N7VR.pdf,PA00N7VR.pdf,,PA00N7VR.pdf,,,
Colombia,AID-530-A-13-00005,Semana,https://sostenibilidad.semana.com/impacto/articulo/paisajes-sonoros-conservacion-a-traves-de-la-gestion-cultural/37229,Soundscapes- conservation through cultural management.txt,,Soundscapes- conservation through cultural management.txt,,,
Colombia,AID-EGEE-P-17-00004,Factsheet - Energy Auction,https://www.usaid.gov/sites/default/files/documents/1865/SURE-Colombia_Energy-Auction-Snapshot.pdf,SURE-Colombia_Energy-Auction-Snapshot.pdf,,SURE-Colombia_Energy-Auction-Snapshot.pdf,,,
